question,cluster_label,frequency,sentence_exemplar
6,citi_drop_insid,1423,"yes , the dealership gives pick up and drop services but it would be good if they locate their dealership in city area ."
6,km_citi_distanc,249,dealership center should be in erode city like it should be in the distance of 4 to 5 km in the city .
6,citi_hyundai_heart,236,so like hyundai service center your service center should be also in city .
7,space,229,space should be more they have to provide sitting facility .
7,drink,108,we need to tell to them ten times to give water .
7,seat,97,drivers customers should not sit together .
7,time,80,first they are say you are car is ready we can come to take it but when we come to dealership that time staff are doing policing and cleaning the car so that should be improved .
7,cleanli,39,in waiting area cleanness washroom are not good .
7,ac,25,"there is no ac in the waiting area so , its so difficult to wait in waiting area in summer season"
7,read,21,tv and all is there but there is no newspaper for people to read .
7,food,15,they should provide rest room canteen .
7,driver,14,you should understand the difference between car owners and drivers .
7,tv,13,"there should be sofa available at waiting area , ac tv also should be there for entertainment ."
8,servic,454,"if they commit us time for delivery of vehicle after service , they make us wait for delivery of vehicle ."
8,deliveri,191,"if they commit us 4 00 pm to delivery of vehicle , we get vehicle on 4 30 pm , 5 00 pm , 5 30 or 6 00 pm ."
8,commit,136,whatever time you are committing in that time period and half an hour late they should give the car but the delay 2 hours .
8,staff,89,staff should be increase .
8,wait,37,during the servicing if they are going for test drive then they should come early so our time will not get waste .
8,inform,32,so they should mention the exact time which it will take .
9,charg,947,"they should inform the customer by estimating the total cost , so that customer will carry money as per that or if he has the money then he will give the car otherwise he will not give ."
9,servic,763,last time when i visited they give me free service .
9,spare,449,they should reduce charges of spare parts in vehicle .
9,labor,249,they take lots of labor charge which is too costly .
9,tax,143,they should not apply more tax on the spare parts rate .
9,compar,115,if compared to maruti it is 2 times more charged
10,vehicl_servic_custom,31,1 \) they have to do the follow up calls regarding the condition of the vehicle after servicing . .
10,feedback_call_custom,26,they should take the feedback on call from the customer after servicing .
10,follow_call_custom,22,1 . they have to increase the follow up calls after servicing .
10,servic_call_car,48,still we have not received follow up calls . after service we have call them .
10,time_call_feedback,34,the time which we give for feedback call the should give more attention also they should do call on given time . they should do more and more call for feedback that would be good .
10,complaint_call_action,26,after servicing the feedback call which we get they should improve it . if in feedback call any customer giving complaint then they should take action and follow up .
10,problem_call_car,49,they should sort out customer problems which they had given as a feedback so they should not faced problems .
10,custom_call_feedback,141,after servicing the car next day they are called to customer for car service information so that is problem for the customer so they should follow up calls should come in after one week it is better for the customer
10,car_call_servic,33,no follow up call from dealership . after service they must follow up and take feedback about car condition and all .
10,call_end_develop,15,they should make a call to customer after servicing after servicing
